GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BUQ001,BUQ002
G11000100001,1940,District Of Columbia,11,District Of Columbia,1,,1,,STCTY-11001 TRACT-    0001     IN WASHINGTON DC,5950,2328
G11000100002,1940,District Of Columbia,11,District Of Columbia,1,,2,,STCTY-11001 TRACT-    0002     IN WASHINGTON DC,5750,930
G11000100003,1940,District Of Columbia,11,District Of Columbia,1,,3,,STCTY-11001 TRACT-    0003     IN WASHINGTON DC,6074,43
G11000100004,1940,District Of Columbia,11,District Of Columbia,1,,4,,STCTY-11001 TRACT-    0004     IN WASHINGTON DC,1373,117
G11000100005,1940,District Of Columbia,11,District Of Columbia,1,,5,,STCTY-11001 TRACT-    0005     IN WASHINGTON DC,7326,205
G11000100006,1940,District Of Columbia,11,District Of Columbia,1,,6,,STCTY-11001 TRACT-    0006     IN WASHINGTON DC,5305,204
G11000100007,1940,District Of Columbia,11,District Of Columbia,1,,7,,STCTY-11001 TRACT-    0007     IN WASHINGTON DC,4829,79
G11000100008,1940,District Of Columbia,11,District Of Columbia,1,,8,,STCTY-11001 TRACT-    0008     IN WASHINGTON DC,4368,184
G11000100009,1940,District Of Columbia,11,District Of Columbia,1,,9,,STCTY-11001 TRACT-    0009     IN WASHINGTON DC,3282,232
G11000100010,1940,District Of Columbia,11,District Of Columbia,1,,10,,STCTY-11001 TRACT-    0010     IN WASHINGTON DC,6370,123
G11000100011,1940,District Of Columbia,11,District Of Columbia,1,,11,,STCTY-11001 TRACT-    0011     IN WASHINGTON DC,5086,337
G11000100012,1940,District Of Columbia,11,District Of Columbia,1,,12,,STCTY-11001 TRACT-    0012     IN WASHINGTON DC,4156,86
G11000100013,1940,District Of Columbia,11,District Of Columbia,1,,13,,STCTY-11001 TRACT-    0013     IN WASHINGTON DC,3161,137
G11000100014,1940,District Of Columbia,11,District Of Columbia,1,,14,,STCTY-11001 TRACT-    0014     IN WASHINGTON DC,5662,92
G11000100015,1940,District Of Columbia,11,District Of Columbia,1,,15,,STCTY-11001 TRACT-    0015     IN WASHINGTON DC,3807,114
G11000100016,1940,District Of Columbia,11,District Of Columbia,1,,16,,STCTY-11001 TRACT-    0016     IN WASHINGTON DC,3494,190
G11000100017,1940,District Of Columbia,11,District Of Columbia,1,,17,,STCTY-11001 TRACT-    0017     IN WASHINGTON DC,5047,204
G11000100018,1940,District Of Columbia,11,District Of Columbia,1,,18,,STCTY-11001 TRACT-    0018     IN WASHINGTON DC,4954,250
G11000100019,1940,District Of Columbia,11,District Of Columbia,1,,19,,STCTY-11001 TRACT-    0019     IN WASHINGTON DC,8620,28
G11000100020,1940,District Of Columbia,11,District Of Columbia,1,,20,,STCTY-11001 TRACT-    0020     IN WASHINGTON DC,7150,125
G11000100021,1940,District Of Columbia,11,District Of Columbia,1,,21,,STCTY-11001 TRACT-    0021     IN WASHINGTON DC,13176,102
G11000100022,1940,District Of Columbia,11,District Of Columbia,1,,22,,STCTY-11001 TRACT-    0022     IN WASHINGTON DC,9630,55
