GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,B0J001,B0J002,B0J003
G11000100001,1950,District Of Columbia,11,District Of Columbia,1,,1,,STCTY-11001 TRACT-    0001     IN WASHINGTON DC,6366.0,1265.0,27.0
G11000100002,1950,District Of Columbia,11,District Of Columbia,1,,2,,STCTY-11001 TRACT-    0002     IN WASHINGTON DC,6248.0,576.0,47.0
G11000100003,1950,District Of Columbia,11,District Of Columbia,1,,3,,STCTY-11001 TRACT-    0003     IN WASHINGTON DC,7087.0,53.0,12.0
G11000100004,1950,District Of Columbia,11,District Of Columbia,1,,4,,STCTY-11001 TRACT-    0004     IN WASHINGTON DC,1412.0,93.0,49.0
G11000100005,1950,District Of Columbia,11,District Of Columbia,1,,5,,STCTY-11001 TRACT-    0005     IN WASHINGTON DC,7440.0,166.0,52.0
G11000100006,1950,District Of Columbia,11,District Of Columbia,1,,6,,STCTY-11001 TRACT-    0006     IN WASHINGTON DC,5563.0,163.0,27.0
G11000100007,1950,District Of Columbia,11,District Of Columbia,1,,7,,STCTY-11001 TRACT-    0007     IN WASHINGTON DC,6713.0,105.0,37.0
G11000100008,1950,District Of Columbia,11,District Of Columbia,1,,8,,STCTY-11001 TRACT-    0008     IN WASHINGTON DC,5204.0,177.0,32.0
G11000100009,1950,District Of Columbia,11,District Of Columbia,1,,9,,STCTY-11001 TRACT-    0009     IN WASHINGTON DC,5295.0,276.0,7.0
G11000100010,1950,District Of Columbia,11,District Of Columbia,1,,10,,STCTY-11001 TRACT-    0010     IN WASHINGTON DC,11378.0,47.0,31.0
G11000100011,1950,District Of Columbia,11,District Of Columbia,1,,11,,STCTY-11001 TRACT-    0011     IN WASHINGTON DC,5084.0,134.0,12.0
G11000100012,1950,District Of Columbia,11,District Of Columbia,1,,12,,STCTY-11001 TRACT-    0012     IN WASHINGTON DC,4357.0,58.0,17.0
G11000100013,1950,District Of Columbia,11,District Of Columbia,1,,13,,STCTY-11001 TRACT-    0013     IN WASHINGTON DC,4344.0,166.0,16.0
G11000100014,1950,District Of Columbia,11,District Of Columbia,1,,14,,STCTY-11001 TRACT-    0014     IN WASHINGTON DC,5991.0,51.0,32.0
G11000100015,1950,District Of Columbia,11,District Of Columbia,1,,15,,STCTY-11001 TRACT-    0015     IN WASHINGTON DC,5327.0,86.0,14.0
