GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,B7B001,B7B002,B7B003
G11000100001,1960,District Of Columbia,11,District Of Columbia,1,,1,,TRACT 1 WASHINGTON D C,5583.0,321.0,59.0
G11000100002,1960,District Of Columbia,11,District Of Columbia,1,,2,,TRACT 2 WASHINGTON D C,5594.0,60.0,69.0
G11000100003,1960,District Of Columbia,11,District Of Columbia,1,,3,,TRACT 3 WASHINGTON D C,6303.0,34.0,78.0
G11000100004,1960,District Of Columbia,11,District Of Columbia,1,,4,,TRACT 4 WASHINGTON D C,1192.0,58.0,30.0
G11000100005,1960,District Of Columbia,11,District Of Columbia,1,,5,,TRACT 5 WASHINGTON D C,7039.0,130.0,116.0
G11000100006,1960,District Of Columbia,11,District Of Columbia,1,,6,,TRACT 6 WASHINGTON D C,5231.0,128.0,128.0
G11000100007,1960,District Of Columbia,11,District Of Columbia,1,,7,,TRACT 7 WASHINGTON D C,8330.0,121.0,97.0
G11000100008,1960,District Of Columbia,11,District Of Columbia,1,,8,,TRACT 8 WASHINGTON D C,6073.0,109.0,53.0
G11000100009,1960,District Of Columbia,11,District Of Columbia,1,,9,,TRACT 9 WASHINGTON D C,6533.0,129.0,53.0
G11000100010,1960,District Of Columbia,11,District Of Columbia,1,,10,,TRACT 10 WASHINGTON D C,11554.0,49.0,95.0
G11000100011,1960,District Of Columbia,11,District Of Columbia,1,,11,,TRACT 11 WASHINGTON D C,5036.0,73.0,93.0
G11000100012,1960,District Of Columbia,11,District Of Columbia,1,,12,,TRACT 12 WASHINGTON D C,5067.0,39.0,108.0
G11000100013,1960,District Of Columbia,11,District Of Columbia,1,,13,,TRACT 13 WASHINGTON D C,7584.0,143.0,76.0
G11000100014,1960,District Of Columbia,11,District Of Columbia,1,,14,,TRACT 14 WASHINGTON D C,6314.0,48.0,186.0
G11000100015,1960,District Of Columbia,11,District Of Columbia,1,,15,,TRACT 15 WASHINGTON D C,6035.0,44.0,98.0
G11000100016,1960,District Of Columbia,11,District Of Columbia,1,,16,,TRACT 16 WASHINGTON D C,5344.0,93.0,21.0
G11000100017,1960,District Of Columbia,11,District Of Columbia,1,,17,,TRACT 17 WASHINGTON D C,4788.0,1028.0,55.0
G11000100018,1960,District Of Columbia,11,District Of Columbia,1,,18,,TRACT 18 WASHINGTON D C,8114.0,1081.0,86.0
G11000100019,1960,District Of Columbia,11,District Of Columbia,1,,19,,TRACT 19 WASHINGTON D C,4058.0,4385.0,90.0
G11000100020,1960,District Of Columbia,11,District Of Columbia,1,,20,,TRACT 20 WASHINGTON D C,4460.0,2939.0,128.0
G11000100021,1960,District Of Columbia,11,District Of Columbia,1,,21,,TRACT 21 WASHINGTON D C,5184.0,8466.0,104.0
G11000100022,1960,District Of Columbia,11,District Of Columbia,1,,22,,TRACT 22 WASHINGTON D C,3071.0,6349.0,52.0
G110001000231,1960,District Of Columbia,11,District Of Columbia,1,,23,1,TRACT 23-1 WASHINGTON D C,729.0,3683.0,6.0
G110001000232,1960,District Of Columbia,11,District Of Columbia,1,,23,2,TRACT 23-2 WASHINGTON D C,2037.0,83.0,14.0
G11000100024,1960,District Of Columbia,11,District Of Columbia,1,,24,,TRACT 24 WASHINGTON D C,791.0,4675.0,31.0
G11000100025,1960,District Of Columbia,11,District Of Columbia,1,,25,,TRACT 25 WASHINGTON D C,2219.0,6917.0,73.0
G11000100026,1960,District Of Columbia,11,District Of Columbia,1,,26,,TRACT 26 WASHINGTON D C,1422.0,1294.0,16.0
G11000100027,1960,District Of Columbia,11,District Of Columbia,1,,27,,TRACT 27 WASHINGTON D C,8445.0,2802.0,307.0
G11000100028,1960,District Of Columbia,11,District Of Columbia,1,,28,,TRACT 28 WASHINGTON D C,4107.0,2873.0,110.0
G11000100029,1960,District Of Columbia,11,District Of Columbia,1,,29,,TRACT 29 WASHINGTON D C,366.0,5426.0,40.0
G11000100030,1960,District Of Columbia,11,District Of Columbia,1,,30,,TRACT 30 WASHINGTON D C,455.0,4044.0,34.0
G11000100031,1960,District Of Columbia,11,District Of Columbia,1,,31,,TRACT 31 WASHINGTON D C,50.0,4105.0,10.0
G11000100032,1960,District Of Columbia,11,District Of Columbia,1,,32,,TRACT 32 WASHINGTON D C,110.0,6496.0,2.0
G11000100033,1960,District Of Columbia,11,District Of Columbia,1,,33,,TRACT 33 WASHINGTON D C,407.0,9045.0,37.0
G11000100034,1960,District Of Columbia,11,District Of Columbia,1,,34,,TRACT 34 WASHINGTON D C,61.0,6762.0,44.0
