GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C0X001,C0X002,C0X003
G11000100001,1970,District Of Columbia,11,District Of Columbia,1,,,1,,8840.0,,,,Tract    1,5223,169,37
G11000100002,1970,District Of Columbia,11,District Of Columbia,1,,,2,,8840.0,,,,Tract    2,5712,19,128
G11000100003,1970,District Of Columbia,11,District Of Columbia,1,,,3,,8840.0,,,,Tract    3,5173,92,57
G11000100004,1970,District Of Columbia,11,District Of Columbia,1,,,4,,8840.0,,,,Tract    4,847,27,27
G11000100005,1970,District Of Columbia,11,District Of Columbia,1,,,5,,8840.0,,,,Tract    5,6931,205,94
G11000100006,1970,District Of Columbia,11,District Of Columbia,1,,,6,,8840.0,,,,Tract    6,4531,194,87
G11000100007,1970,District Of Columbia,11,District Of Columbia,1,,,7,,8840.0,,,,Tract    7,7843,129,161
G11000100008,1970,District Of Columbia,11,District Of Columbia,1,,,8,,8840.0,,,,Tract    8,7321,91,68
G11000100009,1970,District Of Columbia,11,District Of Columbia,1,,,9,,8840.0,,,,Tract    9,8217,133,121
G1100010001001,1970,District Of Columbia,11,District Of Columbia,1,,,1001,,8840.0,,,,Tract   10.01,6249,71,109
G1100010001002,1970,District Of Columbia,11,District Of Columbia,1,,,1002,,8840.0,,,,Tract   10.02,2981,116,86
G11000100011,1970,District Of Columbia,11,District Of Columbia,1,,,11,,8840.0,,,,Tract   11,4559,170,150
G11000100012,1970,District Of Columbia,11,District Of Columbia,1,,,12,,8840.0,,,,Tract   12,4656,118,241
G11000100013,1970,District Of Columbia,11,District Of Columbia,1,,,13,,8840.0,,,,Tract   13,8368,324,199
G11000100014,1970,District Of Columbia,11,District Of Columbia,1,,,14,,8840.0,,,,Tract   14,5835,288,324
G11000100015,1970,District Of Columbia,11,District Of Columbia,1,,,15,,8840.0,,,,Tract   15,5801,163,82
G11000100016,1970,District Of Columbia,11,District Of Columbia,1,,,16,,8840.0,,,,Tract   16,2968,2774,29
G11000100017,1970,District Of Columbia,11,District Of Columbia,1,,,17,,8840.0,,,,Tract   17,1990,3704,108
G1100010001801,1970,District Of Columbia,11,District Of Columbia,1,,,1801,,8840.0,,,,Tract   18.01,1682,332,5
G1100010001802,1970,District Of Columbia,11,District Of Columbia,1,,,1802,,8840.0,,,,Tract   18.02,1427,5380,59
G11000100019,1970,District Of Columbia,11,District Of Columbia,1,,,19,,8840.0,,,,Tract   19,766,7574,64
G11000100020,1970,District Of Columbia,11,District Of Columbia,1,,,20,,8840.0,,,,Tract   20,1578,5582,25
G1100010002101,1970,District Of Columbia,11,District Of Columbia,1,,,2101,,8840.0,,,,Tract   21.01,307,5659,50
G1100010002102,1970,District Of Columbia,11,District Of Columbia,1,,,2102,,8840.0,,,,Tract   21.02,445,5890,46
G1100010002201,1970,District Of Columbia,11,District Of Columbia,1,,,2201,,8840.0,,,,Tract   22.01,178,4363,7
G1100010002202,1970,District Of Columbia,11,District Of Columbia,1,,,2202,,8840.0,,,,Tract   22.02,335,3378,6
G1100010002301,1970,District Of Columbia,11,District Of Columbia,1,,,2301,,8840.0,,,,Tract   23.01,214,3872,17
G1100010002302,1970,District Of Columbia,11,District Of Columbia,1,,,2302,,8840.0,,,,Tract   23.02,2770,280,29
G11000100024,1970,District Of Columbia,11,District Of Columbia,1,,,24,,8840.0,,,,Tract   24,183,4707,20
G1100010002501,1970,District Of Columbia,11,District Of Columbia,1,,,2501,,8840.0,,,,Tract   25.01,197,2699,5
G1100010002502,1970,District Of Columbia,11,District Of Columbia,1,,,2502,,8840.0,,,,Tract   25.02,99,5214,33
G11000100026,1970,District Of Columbia,11,District Of Columbia,1,,,26,,8840.0,,,,Tract   26,934,1787,5
G1100010002701,1970,District Of Columbia,11,District Of Columbia,1,,,2701,,8840.0,,,,Tract   27.01,1357,2898,43
G1100010002702,1970,District Of Columbia,11,District Of Columbia,1,,,2702,,8840.0,,,,Tract   27.02,2016,3673,114
G11000100028,1970,District Of Columbia,11,District Of Columbia,1,,,28,,8840.0,,,,Tract   28,790,6208,208
G11000100029,1970,District Of Columbia,11,District Of Columbia,1,,,29,,8840.0,,,,Tract   29,118,4778,37
G11000100030,1970,District Of Columbia,11,District Of Columbia,1,,,30,,8840.0,,,,Tract   30,113,2927,27
G11000100031,1970,District Of Columbia,11,District Of Columbia,1,,,31,,8840.0,,,,Tract   31,55,3518,32
G11000100032,1970,District Of Columbia,11,District Of Columbia,1,,,32,,8840.0,,,,Tract   32,125,6027,30
G1100010003301,1970,District Of Columbia,11,District Of Columbia,1,,,3301,,8840.0,,,,Tract   33.01,49,4252,60
G1100010003302,1970,District Of Columbia,11,District Of Columbia,1,,,3302,,8840.0,,,,Tract   33.02,19,2546,20
G11000100034,1970,District Of Columbia,11,District Of Columbia,1,,,34,,8840.0,,,,Tract   34,65,5052,43
G11000100035,1970,District Of Columbia,11,District Of Columbia,1,,,35,,8840.0,,,,Tract   35,20,2927,78
G11000100036,1970,District Of Columbia,11,District Of Columbia,1,,,36,,8840.0,,,,Tract   36,94,5263,0
G11000100037,1970,District Of Columbia,11,District Of Columbia,1,,,37,,8840.0,,,,Tract   37,278,4905,63
G11000100038,1970,District Of Columbia,11,District Of Columbia,1,,,38,,8840.0,,,,Tract   38,1138,3821,77
G11000100039,1970,District Of Columbia,11,District Of Columbia,1,,,39,,8840.0,,,,Tract   39,2598,3179,101
G11000100040,1970,District Of Columbia,11,District Of Columbia,1,,,40,,8840.0,,,,Tract   40,4685,2293,200
G11000100041,1970,District Of Columbia,11,District Of Columbia,1,,,41,,8840.0,,,,Tract   41,2607,120,89
G1100010004201,1970,District Of Columbia,11,District Of Columbia,1,,,4201,,8840.0,,,,Tract   42.01,673,3569,35
G1100010004202,1970,District Of Columbia,11,District Of Columbia,1,,,4202,,8840.0,,,,Tract   42.02,2101,1588,203
G11000100043,1970,District Of Columbia,11,District Of Columbia,1,,,43,,8840.0,,,,Tract   43,637,3234,52
G11000100044,1970,District Of Columbia,11,District Of Columbia,1,,,44,,8840.0,,,,Tract   44,53,3373,0
G11000100045,1970,District Of Columbia,11,District Of Columbia,1,,,45,,8840.0,,,,Tract   45,0,2238,10
G11000100046,1970,District Of Columbia,11,District Of Columbia,1,,,46,,8840.0,,,,Tract   46,104,5538,74
G11000100047,1970,District Of Columbia,11,District Of Columbia,1,,,47,,8840.0,,,,Tract   47,142,3346,36
G1100010004801,1970,District Of Columbia,11,District Of Columbia,1,,,4801,,8840.0,,,,Tract   48.01,0,3429,5
G1100010004802,1970,District Of Columbia,11,District Of Columbia,1,,,4802,,8840.0,,,,Tract   48.02,6,2676,0
G1100010004901,1970,District Of Columbia,11,District Of Columbia,1,,,4901,,8840.0,,,,Tract   49.01,11,2934,23
G1100010004902,1970,District Of Columbia,11,District Of Columbia,1,,,4902,,8840.0,,,,Tract   49.02,52,2242,131
G11000100050,1970,District Of Columbia,11,District Of Columbia,1,,,50,,8840.0,,,,Tract   50,1471,5209,43
G11000100051,1970,District Of Columbia,11,District Of Columbia,1,,,51,,8840.0,,,,Tract   51,1012,325,54
G1100010005201,1970,District Of Columbia,11,District Of Columbia,1,,,5201,,8840.0,,,,Tract   52.01,2387,2792,172
G1100010005202,1970,District Of Columbia,11,District Of Columbia,1,,,5202,,8840.0,,,,Tract   52.02,683,0,35
G1100010005301,1970,District Of Columbia,11,District Of Columbia,1,,,5301,,8840.0,,,,Tract   53.01,3382,1421,157
G1100010005302,1970,District Of Columbia,11,District Of Columbia,1,,,5302,,8840.0,,,,Tract   53.02,517,53,0
G1100010005401,1970,District Of Columbia,11,District Of Columbia,1,,,5401,,8840.0,,,,Tract   54.01,2110,91,51
G1100010005402,1970,District Of Columbia,11,District Of Columbia,1,,,5402,,8840.0,,,,Tract   54.02,372,0,47
G11000100055,1970,District Of Columbia,11,District Of Columbia,1,,,55,,8840.0,,,,Tract   55,4562,1024,158
G11000100056,1970,District Of Columbia,11,District Of Columbia,1,,,56,,8840.0,,,,Tract   56,4609,218,94
G1100010005701,1970,District Of Columbia,11,District Of Columbia,1,,,5701,,8840.0,,,,Tract   57.01,5388,134,105
G1100010005702,1970,District Of Columbia,11,District Of Columbia,1,,,5702,,8840.0,,,,Tract   57.02,370,35,15
G11000100058,1970,District Of Columbia,11,District Of Columbia,1,,,58,,8840.0,,,,Tract   58,575,201,348
G11000100059,1970,District Of Columbia,11,District Of Columbia,1,,,59,,8840.0,,,,Tract   59,455,1128,26
G1100010006001,1970,District Of Columbia,11,District Of Columbia,1,,,6001,,8840.0,,,,Tract   60.01,2908,982,51
G1100010006002,1970,District Of Columbia,11,District Of Columbia,1,,,6002,,8840.0,,,,Tract   60.02,0,1075,0
G11000100061,1970,District Of Columbia,11,District Of Columbia,1,,,61,,8840.0,,,,Tract   61,810,370,5
G11000100062,1970,District Of Columbia,11,District Of Columbia,1,,,62,,8840.0,,,,Tract   62,368,109,5
G1100010006301,1970,District Of Columbia,11,District Of Columbia,1,,,6301,,8840.0,,,,Tract   63.01,2433,1607,16
G1100010006302,1970,District Of Columbia,11,District Of Columbia,1,,,6302,,8840.0,,,,Tract   63.02,235,16,0
G11000100064,1970,District Of Columbia,11,District Of Columbia,1,,,64,,8840.0,,,,Tract   64,154,4041,13
G11000100065,1970,District Of Columbia,11,District Of Columbia,1,,,65,,8840.0,,,,Tract   65,2559,920,83
G11000100066,1970,District Of Columbia,11,District Of Columbia,1,,,66,,8840.0,,,,Tract   66,1482,280,50
G11000100067,1970,District Of Columbia,11,District Of Columbia,1,,,67,,8840.0,,,,Tract   67,1488,4374,64
G1100010006801,1970,District Of Columbia,11,District Of Columbia,1,,,6801,,8840.0,,,,Tract   68.01,152,3237,0
G1100010006802,1970,District Of Columbia,11,District Of Columbia,1,,,6802,,8840.0,,,,Tract   68.02,174,3898,0
G1100010006803,1970,District Of Columbia,11,District Of Columbia,1,,,6803,,8840.0,,,,Tract   68.03,226,1191,0
G11000100069,1970,District Of Columbia,11,District Of Columbia,1,,,69,,8840.0,,,,Tract   69,254,3594,0
G11000100070,1970,District Of Columbia,11,District Of Columbia,1,,,70,,8840.0,,,,Tract   70,1373,1642,50
G11000100071,1970,District Of Columbia,11,District Of Columbia,1,,,71,,8840.0,,,,Tract   71,253,3878,4
G11000100072,1970,District Of Columbia,11,District Of Columbia,1,,,72,,8840.0,,,,Tract   72,201,3890,0
G1100010007299,1970,District Of Columbia,11,District Of Columbia,1,,,7299,,8840.0,,,,Tract   72.99,120,7,4
G1100010007301,1970,District Of Columbia,11,District Of Columbia,1,,,7301,,8840.0,,,,Tract   73.01,3780,696,430
G1100010007302,1970,District Of Columbia,11,District Of Columbia,1,,,7302,,8840.0,,,,Tract   73.02,1249,4099,117
G1100010007303,1970,District Of Columbia,11,District Of Columbia,1,,,7303,,8840.0,,,,Tract   73.03,533,6360,54
G1100010007304,1970,District Of Columbia,11,District Of Columbia,1,,,7304,,8840.0,,,,Tract   73.04,173,4798,0
