GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G11000100001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1,,,,,,,,,,,State: 11 County: 001 Tract: 1,4488,143,5,0,0,10,11,5,2,8,2,2,0,0,68
G11000100002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2,,,,,,,,,,,State: 11 County: 001 Tract: 2,5723,183,7,2,0,26,29,18,15,5,4,1,0,0,91
G11000100003,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,3,,,,,,,,,,,State: 11 County: 001 Tract: 3,4931,98,8,0,2,19,46,10,2,13,7,4,2,0,98
G11000100004,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4,,,,,,,,,,,State: 11 County: 001 Tract: 4,1434,59,1,0,0,8,8,10,1,5,1,2,0,0,32
G1100010000501,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,501,,,,,,,,,,,State: 11 County: 001 Tract: 5.01,2344,130,5,1,1,10,34,11,5,10,8,0,2,0,91
G1100010000502,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,502,,,,,,,,,,,State: 11 County: 001 Tract: 5.02,3228,131,2,0,0,13,14,3,3,18,1,1,3,0,164
G11000100006,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,6,,,,,,,,,,,State: 11 County: 001 Tract: 6,4116,176,8,0,0,7,55,10,4,16,8,0,1,0,150
G1100010000701,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,701,,,,,,,,,,,State: 11 County: 001 Tract: 7.01,5216,125,8,0,0,25,30,10,9,17,14,0,1,0,104
G1100010000702,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,702,,,,,,,,,,,State: 11 County: 001 Tract: 7.02,2597,87,1,0,0,17,27,3,7,10,1,0,0,0,89
G1100010000801,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,801,,,,,,,,,,,State: 11 County: 001 Tract: 8.01,4059,71,0,0,0,10,14,6,2,10,4,1,0,0,66
G1100010000802,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,802,,,,,,,,,,,State: 11 County: 001 Tract: 8.02,2359,57,0,0,0,7,7,5,4,5,2,2,0,0,35
G1100010000901,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,901,,,,,,,,,,,State: 11 County: 001 Tract: 9.01,5134,323,8,0,2,19,13,22,3,20,4,6,6,1,64
G1100010000902,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,902,,,,,,,,,,,State: 11 County: 001 Tract: 9.02,1735,61,1,0,0,1,19,1,4,7,7,0,0,0,18
G1100010001001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1001,,,,,,,,,,,State: 11 County: 001 Tract: 10.01,5911,171,2,0,0,11,55,14,2,28,1,3,0,0,69
G1100010001002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1002,,,,,,,,,,,State: 11 County: 001 Tract: 10.02,1843,144,4,0,0,4,18,6,2,20,0,1,0,0,29
G11000100011,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,11,,,,,,,,,,,State: 11 County: 001 Tract: 11,4158,169,2,0,2,8,111,14,5,11,9,0,0,0,78
G11000100012,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,12,,,,,,,,,,,State: 11 County: 001 Tract: 12,4330,257,13,0,1,10,40,15,6,34,4,2,0,2,196
G1100010001301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1301,,,,,,,,,,,State: 11 County: 001 Tract: 13.01,3150,260,0,0,0,3,24,2,2,8,3,1,0,0,62
G1100010001302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1302,,,,,,,,,,,State: 11 County: 001 Tract: 13.02,4795,381,11,1,0,27,40,17,7,20,10,3,1,0,173
G11000100014,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,14,,,,,,,,,,,State: 11 County: 001 Tract: 14,5647,391,5,1,0,19,85,27,14,25,5,0,0,0,117
G11000100015,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,15,,,,,,,,,,,State: 11 County: 001 Tract: 15,4892,511,2,0,0,16,51,10,5,16,19,0,1,0,56
G11000100016,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,16,,,,,,,,,,,State: 11 County: 001 Tract: 16,1627,3373,8,0,0,1,19,7,2,10,2,2,0,0,50
