GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G11000100001101","1990","99","9999","9999","9999","9","101","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 101",244,13,0,7,0,27,0,0,0,0
"G11000100001102","1990","99","9999","9999","9999","9","102","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 102",22,0,0,13,0,0,0,0,0,0
"G11000100001103","1990","99","9999","9999","9999","9","103","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 103",34,0,0,0,0,1,0,0,0,0
"G11000100001104","1990","99","9999","9999","9999","9","104","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 104",96,0,0,0,0,4,0,0,0,0
"G11000100001105","1990","99","9999","9999","9999","9","105","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 105",39,0,0,1,0,3,1,0,0,0
"G11000100001106","1990","99","9999","9999","9999","9","106","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 106",84,1,0,5,0,3,0,0,0,0
"G11000100001107","1990","99","9999","9999","9999","9","107","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 107",93,1,0,1,0,15,0,0,0,0
"G11000100001108","1990","99","9999","9999","9999","9","108","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 108",163,0,0,9,0,11,1,0,0,0
"G11000100001109","1990","99","9999","9999","9999","9","109","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 109",124,1,0,3,0,1,0,0,0,0
"G11000100001110","1990","99","9999","9999","9999","9","110","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 110",93,0,0,3,0,12,0,0,0,0
"G11000100001111","1990","99","9999","9999","9999","9","111","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 111",105,4,0,5,0,5,0,0,0,1
"G11000100001112","1990","99","9999","9999","9999","9","112","1","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 112",46,0,0,1,0,0,0,0,0,5
"G11000100001201","1990","99","9999","9999","9999","9","201","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 201",541,29,1,18,2,12,0,0,2,1
"G11000100001202","1990","99","9999","9999","9999","9","202","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 202",270,29,0,7,0,17,0,0,0,16
"G11000100001203","1990","99","9999","9999","9999","9","203","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 203",48,1,0,0,0,1,0,0,0,0
"G11000100001204","1990","99","9999","9999","9999","9","204","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 204",71,12,0,1,0,3,2,0,0,1
"G11000100001205","1990","99","9999","9999","9999","9","205","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 205",58,0,1,1,0,1,0,0,0,0
"G11000100001207","1990","99","9999","9999","9999","9","207","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 207",75,2,0,0,0,0,0,0,0,1
"G11000100001208","1990","99","9999","9999","9999","9","208","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 208",50,0,0,0,0,0,0,0,0,0
"G11000100001209","1990","99","9999","9999","9999","9","209","2","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 209",31,1,0,0,0,1,0,0,0,0
"G11000100001303","1990","99","9999","9999","9999","9","303","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 303",13,0,0,0,0,0,0,0,0,0
"G11000100001304","1990","99","9999","9999","9999","9","304","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 304",12,0,0,5,0,0,0,0,0,0
"G11000100001307","1990","99","9999","9999","9999","9","307","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 307",16,0,0,0,0,0,0,0,0,0
"G11000100001308","1990","99","9999","9999","9999","9","308","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 308",41,1,0,6,0,5,0,0,0,0
"G11000100001309","1990","99","9999","9999","9999","9","309","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 309",4,0,0,0,0,0,0,0,0,0
"G11000100001310","1990","99","9999","9999","9999","9","310","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 310",112,0,0,4,0,5,0,0,0,0
"G11000100001312","1990","99","9999","9999","9999","9","312","3","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 312",30,0,0,4,0,0,0,0,0,0
"G11000100001401","1990","99","9999","9999","9999","9","401","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 401",50,2,0,1,0,5,0,0,0,1
"G11000100001402","1990","99","9999","9999","9999","9","402","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 402",76,1,0,1,0,2,0,0,0,0
"G11000100001403","1990","99","9999","9999","9999","9","403","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 403",56,5,0,1,0,1,0,0,0,0
"G11000100001404","1990","99","9999","9999","9999","9","404","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 404",60,1,0,2,0,0,0,0,0,0
"G11000100001405","1990","99","9999","9999","9999","9","405","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 405",32,1,0,1,0,1,0,0,0,0
"G11000100001406","1990","99","9999","9999","9999","9","406","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 406",42,2,0,1,0,1,0,0,0,1
"G11000100001407","1990","99","9999","9999","9999","9","407","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 407",43,4,1,2,0,1,0,0,0,0
"G11000100001408","1990","99","9999","9999","9999","9","408","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 408",60,2,0,0,0,1,0,0,0,0
"G11000100001409","1990","99","9999","9999","9999","9","409","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 409",85,0,0,4,0,4,1,0,0,0
"G11000100001410","1990","99","9999","9999","9999","9","410","4","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 410",84,0,0,1,0,2,0,0,0,0
"G11000100001501","1990","99","9999","9999","9999","9","501","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 501",70,3,0,2,0,9,0,0,0,0
"G11000100001502","1990","99","9999","9999","9999","9","502","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 502",135,5,0,5,0,7,0,0,0,0
"G11000100001503","1990","99","9999","9999","9999","9","503","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 503",50,4,0,1,0,0,0,0,0,0
"G11000100001504","1990","99","9999","9999","9999","9","504","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 504",47,0,0,0,0,4,0,0,0,1
"G11000100001505","1990","99","9999","9999","9999","9","505","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 505",48,0,0,0,1,0,0,0,0,0
"G11000100001506","1990","99","9999","9999","9999","9","506","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 506",49,1,0,2,0,0,0,0,0,0
"G11000100001507","1990","99","9999","9999","9999","9","507","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 507",130,3,0,2,0,5,0,0,0,1
"G11000100001508","1990","99","9999","9999","9999","9","508","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 508",64,1,0,4,0,5,1,0,0,2
"G11000100001509","1990","99","9999","9999","9999","9","509","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 509",46,0,0,1,0,0,0,0,0,0
"G11000100001510","1990","99","9999","9999","9999","9","510","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 510",136,13,0,6,0,0,0,0,0,0
"G11000100001511","1990","99","9999","9999","9999","9","511","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 511",52,0,0,2,0,8,0,0,0,0
"G11000100001512","1990","99","9999","9999","9999","9","512","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 512",120,2,0,3,0,0,0,0,0,1
"G11000100001513","1990","99","9999","9999","9999","9","513","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 513",42,2,0,3,0,6,0,0,0,0
"G11000100001514","1990","99","9999","9999","9999","9","514","5","0001","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 514",83,0,0,6,0,4,0,0,0,0
"G1100010000201101","1990","99","9999","9999","9999","9","101","1","000201","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 101",2860,371,7,315,17,201,16,1,2,46
"G1100010000202102","1990","99","9999","9999","9999","9","102","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 102",122,4,2,21,1,9,0,0,0,2
"G1100010000202103","1990","99","9999","9999","9999","9","103","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 103",37,0,0,0,0,2,0,0,0,0
"G1100010000202104","1990","99","9999","9999","9999","9","104","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 104",51,0,0,2,0,1,0,0,0,1
"G1100010000202105","1990","99","9999","9999","9999","9","105","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 105",102,0,0,3,0,6,0,0,0,0
"G1100010000202106","1990","99","9999","9999","9999","9","106","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 106",66,5,0,1,0,4,0,0,0,1
"G1100010000202107","1990","99","9999","9999","9999","9","107","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 107",297,4,0,6,0,16,0,0,0,2
"G1100010000202108","1990","99","9999","9999","9999","9","108","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 108",108,0,0,1,0,10,0,0,0,0
"G1100010000202109","1990","99","9999","9999","9999","9","109","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 109",24,0,1,5,0,0,0,0,0,0
"G1100010000202110","1990","99","9999","9999","9999","9","110","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 110",106,0,0,1,0,3,0,0,0,0
"G1100010000202111","1990","99","9999","9999","9999","9","111","1","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 111",79,1,0,0,0,3,0,0,0,0
"G1100010000202201","1990","99","9999","9999","9999","9","201","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 201",63,1,0,1,0,5,0,0,0,0
"G1100010000202202","1990","99","9999","9999","9999","9","202","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 202",23,0,0,1,0,1,0,0,0,0
"G1100010000202203","1990","99","9999","9999","9999","9","203","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 203",64,1,0,1,0,2,0,0,0,2
"G1100010000202204","1990","99","9999","9999","9999","9","204","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 204",50,0,0,1,0,2,0,0,0,0
"G1100010000202205","1990","99","9999","9999","9999","9","205","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 205",114,1,0,0,2,5,0,0,0,1
"G1100010000202206","1990","99","9999","9999","9999","9","206","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 206",76,2,0,3,0,2,0,0,0,0
"G1100010000202207","1990","99","9999","9999","9999","9","207","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 207",75,0,1,5,0,3,0,0,0,0
"G1100010000202208","1990","99","9999","9999","9999","9","208","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 208",95,2,0,3,0,6,1,0,1,0
"G1100010000202209","1990","99","9999","9999","9999","9","209","2","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 209",107,2,0,4,0,1,0,0,0,1
"G1100010000202301","1990","99","9999","9999","9999","9","301","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 301",92,0,0,1,0,5,0,0,1,3
"G1100010000202302","1990","99","9999","9999","9999","9","302","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 302",53,0,0,0,0,0,0,0,0,0
"G1100010000202303","1990","99","9999","9999","9999","9","303","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 303",55,0,0,2,0,6,0,0,1,1
"G1100010000202304","1990","99","9999","9999","9999","9","304","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 304",78,2,0,7,0,7,0,1,1,0
"G1100010000202305","1990","99","9999","9999","9999","9","305","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 305",11,2,0,0,0,1,0,0,0,0
"G1100010000202306","1990","99","9999","9999","9999","9","306","3","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 306",44,1,0,5,0,1,0,0,0,0
"G1100010000202401","1990","99","9999","9999","9999","9","401","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 401",105,4,0,2,0,11,0,0,0,1
"G1100010000202402","1990","99","9999","9999","9999","9","402","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 402",2,0,0,0,0,0,0,0,0,0
"G1100010000202403","1990","99","9999","9999","9999","9","403","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 403",2,1,0,0,0,0,0,0,0,0
"G1100010000202405","1990","99","9999","9999","9999","9","405","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 405",57,2,0,1,0,2,0,0,0,0
"G1100010000202406","1990","99","9999","9999","9999","9","406","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 406",150,6,0,21,0,0,0,0,0,0
"G1100010000202407","1990","99","9999","9999","9999","9","407","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 407",12,1,0,0,0,5,0,0,1,0
"G1100010000202408","1990","99","9999","9999","9999","9","408","4","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 408",60,2,0,0,0,6,0,0,0,0
"G1100010000202501","1990","99","9999","9999","9999","9","501","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 501",83,2,0,0,1,6,0,0,0,2
"G1100010000202502","1990","99","9999","9999","9999","9","502","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 502",89,0,0,0,0,1,0,0,0,0
"G1100010000202503","1990","99","9999","9999","9999","9","503","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 503",102,1,0,0,0,4,0,0,1,0
"G1100010000202504","1990","99","9999","9999","9999","9","504","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 504",78,3,0,2,0,5,0,0,0,0
"G1100010000202505","1990","99","9999","9999","9999","9","505","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 505",95,0,0,2,0,5,0,0,0,0
"G1100010000202506","1990","99","9999","9999","9999","9","506","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 506",65,0,0,0,0,1,0,0,0,0
"G1100010000202507","1990","99","9999","9999","9999","9","507","5","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 507",32,0,0,0,0,0,0,0,0,0
"G1100010000202601","1990","99","9999","9999","9999","9","601","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 601",83,5,0,3,0,1,0,0,0,0
"G1100010000202602","1990","99","9999","9999","9999","9","602","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 602",59,2,0,3,0,2,0,0,0,0
"G1100010000202603","1990","99","9999","9999","9999","9","603","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 603",16,1,0,0,0,0,0,0,0,0
"G1100010000202604","1990","99","9999","9999","9999","9","604","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 604",75,0,0,2,0,2,0,0,0,1
"G1100010000202605","1990","99","9999","9999","9999","9","605","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 605",3,0,0,1,0,0,0,0,0,0
"G1100010000202606","1990","99","9999","9999","9999","9","606","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 606",66,2,1,3,0,0,0,0,1,0
"G1100010000202607","1990","99","9999","9999","9999","9","607","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 607",7,0,0,2,0,0,0,0,0,0
"G1100010000202609","1990","99","9999","9999","9999","9","609","6","000202","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 609",34,0,1,5,0,2,0,0,0,0
"G1100010000310101","1990","99","9999","9999","9999","9","101","1","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 101",207,3,0,5,0,9,0,0,0,5
"G1100010000310102","1990","99","9999","9999","9999","9","102","1","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 102",58,1,0,2,0,6,4,0,0,7
"G1100010000310103","1990","99","9999","9999","9999","9","103","1","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 103",150,5,0,3,0,6,0,0,0,2
"G1100010000310107","1990","99","9999","9999","9999","9","107","1","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 107",212,7,0,8,0,5,1,0,0,0
"G1100010000310108","1990","99","9999","9999","9999","9","108","1","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 108",87,2,0,4,0,4,0,0,0,0
"G1100010000310201","1990","99","9999","9999","9999","9","201","2","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 201",147,3,0,10,0,3,0,1,0,0
"G1100010000310202","1990","99","9999","9999","9999","9","202","2","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 202",124,4,0,6,1,4,1,0,0,0
"G1100010000310203","1990","99","9999","9999","9999","9","203","2","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 203",92,4,0,6,0,3,0,0,0,0
"G1100010000310204","1990","99","9999","9999","9999","9","204","2","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 204",108,1,0,6,0,0,0,0,0,2
"G1100010000310206","1990","99","9999","9999","9999","9","206","2","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 206",37,0,0,1,0,0,0,0,0,0
"G1100010000310301","1990","99","9999","9999","9999","9","301","3","000310","98","99999","District Of Columbia","001","50000","5","8840","50000","9999","3","District Of Columbia","11","1","8840",,"Block 301",812,24,3,32,0,29,1,0,0,6
