GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,AIANHHA,NAME,FYF001,FYF002,FYF003,FYF004,FYF005,FYF006,FYF007,FYF008,FYF009,FYF010,FYF011,FYF012,FYF013,FYF014
"G11000100001001000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1000","9999","Block 1000",227,22,0,11,0,0,4,14,0,0,0,0,0,1
"G11000100001001001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1001","9999","Block 1001",38,0,0,2,0,0,0,1,0,0,0,0,0,0
"G11000100001001002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1002","9999","Block 1002",19,0,0,4,0,0,2,2,0,0,0,0,0,0
"G11000100001001003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1003","9999","Block 1003",65,2,1,6,1,1,2,2,0,0,0,0,0,0
"G11000100001001004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1004","9999","Block 1004",101,0,0,0,1,0,1,4,0,0,0,0,0,0
"G11000100001001005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1005","9999","Block 1005",104,0,1,5,0,0,2,4,0,0,0,0,0,0
"G11000100001001006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1006","9999","Block 1006",99,0,0,11,0,0,0,6,0,0,0,0,0,0
"G11000100001001007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1007","9999","Block 1007",66,3,0,4,0,0,0,3,0,0,0,0,0,0
"G11000100001001008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1008","9999","Block 1008",117,1,0,2,0,0,4,9,0,0,0,0,0,0
"G11000100001001009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1009","9999","Block 1009",164,0,0,9,0,0,0,4,0,0,0,0,2,0
"G11000100001001010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1010","9999","Block 1010",87,0,0,5,0,0,4,4,0,0,0,0,0,0
"G11000100001001011","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1011","9999","Block 1011",40,0,0,1,0,0,0,0,0,0,0,0,2,0
"G11000100001002000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2000","9999","Block 2000",50,0,0,1,0,0,2,0,0,0,0,0,0,0
"G11000100001002001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2001","9999","Block 2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001002002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2002","9999","Block 2002",43,2,0,1,0,0,0,3,0,0,0,0,0,0
"G11000100001002003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2003","9999","Block 2003",36,1,0,0,0,0,1,1,0,0,0,0,0,0
"G11000100001002004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2004","9999","Block 2004",495,96,1,11,0,2,7,22,0,0,2,0,3,2
"G11000100001002005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2005","9999","Block 2005",236,18,0,12,0,1,0,11,0,0,0,0,4,0
"G11000100001002006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2006","9999","Block 2006",83,4,0,3,0,0,1,2,0,0,2,0,0,0
"G11000100001002007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2007","9999","Block 2007",83,0,0,2,0,0,1,1,0,2,0,0,0,0
"G11000100001002008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2008","9999","Block 2008",45,0,0,0,0,0,0,1,0,0,0,0,0,0
"G11000100001002009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","2","2009","9999","Block 2009",29,0,0,0,0,0,0,0,0,0,0,0,1,0
"G11000100001004000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4000","9999","Block 4000",40,0,0,0,0,0,0,2,0,0,0,0,0,0
"G11000100001004001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4001","9999","Block 4001",53,2,0,2,0,0,2,1,0,0,0,0,0,0
"G11000100001004002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4002","9999","Block 4002",87,11,3,0,0,0,2,1,0,0,0,0,0,0
"G11000100001004003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4003","9999","Block 4003",81,0,0,8,0,0,0,2,0,0,0,0,0,0
"G11000100001004004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4004","9999","Block 4004",58,2,0,1,1,0,1,1,0,0,0,0,0,0
"G11000100001004005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4005","9999","Block 4005",7,0,0,0,0,0,1,1,0,0,0,0,0,0
"G11000100001004006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4006","9999","Block 4006",79,1,1,3,0,1,0,5,0,0,0,0,0,0
"G11000100001004007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4007","9999","Block 4007",57,0,0,3,0,0,0,1,0,0,0,0,0,0
"G11000100001004008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4008","9999","Block 4008",53,2,0,0,0,0,0,3,0,0,0,0,0,0
"G11000100001004009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4009","9999","Block 4009",35,0,0,0,0,0,0,1,0,0,0,0,0,1
"G11000100001004010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4010","9999","Block 4010",51,0,0,1,0,0,0,2,0,0,0,0,0,0
"G11000100001004011","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4011","9999","Block 4011",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004012","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4012","9999","Block 4012",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004013","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4013","9999","Block 4013",11,1,0,0,0,0,0,1,0,0,0,0,0,0
"G11000100001004014","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4014","9999","Block 4014",5,2,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004015","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4015","9999","Block 4015",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004016","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4016","9999","Block 4016",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004017","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4017","9999","Block 4017",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004018","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4018","9999","Block 4018",36,0,0,1,0,1,1,3,0,0,0,0,0,0
"G11000100001004019","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4019","9999","Block 4019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004020","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4020","9999","Block 4020",112,7,0,10,0,0,0,4,2,0,0,0,0,0
"G11000100001004021","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4021","9999","Block 4021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004022","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4022","9999","Block 4022",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004023","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4023","9999","Block 4023",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004024","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4024","9999","Block 4024",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004025","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4025","9999","Block 4025",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004026","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4026","9999","Block 4026",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004027","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4027","9999","Block 4027",31,0,0,1,0,0,0,1,0,0,0,0,0,0
"G11000100001004028","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4028","9999","Block 4028",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004029","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4029","9999","Block 4029",8,2,0,1,0,0,1,0,0,0,0,0,0,0
"G11000100001004030","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4030","9999","Block 4030",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004031","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4031","9999","Block 4031",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001004999","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","4","4999","9999","Block 4999",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001005000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5000","9999","Block 5000",38,0,0,2,0,0,4,0,0,0,0,0,0,4
"G11000100001005001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5001","9999","Block 5001",111,0,0,4,0,1,6,4,0,0,0,0,1,0
"G11000100001005002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5002","9999","Block 5002",146,0,0,4,0,0,1,6,0,0,0,0,0,1
"G11000100001005003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5003","9999","Block 5003",56,2,0,8,0,0,0,0,0,0,0,0,0,0
"G11000100001005004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5004","9999","Block 5004",109,0,0,5,0,1,0,4,0,0,0,0,0,0
"G11000100001005005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5005","9999","Block 5005",78,0,0,3,0,1,0,0,0,0,0,0,1,0
"G11000100001005006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5006","9999","Block 5006",40,1,0,1,0,0,0,3,0,0,0,0,0,0
"G11000100001005007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5007","9999","Block 5007",71,1,0,2,0,0,0,1,0,0,0,0,0,0
"G11000100001005008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5008","9999","Block 5008",68,2,0,8,0,0,2,3,0,0,0,0,0,0
"G11000100001005009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5009","9999","Block 5009",82,0,0,3,0,0,0,3,0,0,0,0,0,0
"G11000100001005010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5010","9999","Block 5010",59,1,0,0,0,0,0,4,0,0,0,0,0,0
"G11000100001005011","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5011","9999","Block 5011",52,0,0,0,0,1,0,2,0,0,0,0,0,0
"G11000100001005012","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5012","9999","Block 5012",48,0,0,2,0,1,0,0,0,0,0,0,0,0
"G11000100001005013","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","5","5013","9999","Block 5013",39,0,0,0,0,0,1,8,0,0,0,0,0,0
"G11000100002011000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000201","1","1000","9999","Block 1000",3852,239,0,242,56,1,2,73,1,0,0,0,1,0
"G11000100002021000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1000","9999","Block 1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002021001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1001","9999","Block 1001",118,11,2,13,0,0,7,12,0,0,0,0,3,0
"G11000100002021002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1002","9999","Block 1002",42,1,0,0,0,0,0,2,0,0,0,0,0,0
"G11000100002021003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1003","9999","Block 1003",61,0,0,1,0,1,2,1,0,0,0,0,0,0
"G11000100002021004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1004","9999","Block 1004",79,3,0,8,0,1,4,3,0,0,0,0,1,0
"G11000100002021005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1005","9999","Block 1005",78,2,0,3,0,0,0,3,0,0,0,0,1,0
"G11000100002021006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1006","9999","Block 1006",97,0,0,5,0,0,3,5,0,0,0,0,0,1
"G11000100002021007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","1","1007","9999","Block 1007",25,0,0,3,0,0,0,0,0,0,0,0,0,0
