GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017
"G11000100001001000","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1000","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1000",,324,279,239,7,2,23,0,0,8,45,31,0,0,0,0,10,4
"G11000100001001001","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1001","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1001",,30,26,25,0,0,1,0,0,0,4,0,0,0,0,0,4,0
"G11000100001001002","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1002","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1002",,122,119,115,0,0,1,0,0,3,3,3,0,0,0,0,0,0
"G11000100001001003","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1003","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1003",,141,134,130,0,0,4,0,0,0,7,7,0,0,0,0,0,0
"G11000100001001004","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1004","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1004",,78,74,61,5,1,6,1,0,0,4,4,0,0,0,0,0,0
"G11000100001001005","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1005","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1005",,31,30,28,0,0,2,0,0,0,1,1,0,0,0,0,0,0
"G11000100001001006","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1006","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1006",,108,102,102,0,0,0,0,0,0,6,3,0,0,0,0,3,0
"G11000100001001007","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1007","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1007",,38,38,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001001008","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1008","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1008",,50,46,45,0,0,1,0,0,0,4,4,0,0,0,0,0,0
"G11000100001001009","2010","3","5","District Of Columbia","11","District Of Columbia","001","50000","50000","000100","1","1009","99999","9999","9999","9999","999","999999","9","99999","47900","47894","548","99999","99999","999","92242","U","98","002","999","20007","99999","99999","99999","00030","Block 1009",,114,106,95,2,0,6,0,1,2,8,8,0,0,0,0,0,0
